doc_label,doc_content
doyle-0-33,'been living
doyle-0-33,asked
doyle-0-33,'yes
doyle-0-33,'fine lot government chaps
doyle-0-33,went speaking english great precision considerable bitterness
doyle-0-33,'it funny people francs month
doyle-0-33,wonder becomes kind goes upcountry
doyle-0-33,expected see soon
doyle-0-33,'so
doyle-0-33,exclaimed
doyle-0-33,shuffled athwart keeping one eye ahead vigilantly
doyle-0-33,'do n't sure continued
doyle-0-33,'the day took man hanged road
doyle-0-33,swede
doyle-0-33,'hanged
doyle-0-33,god 's name
doyle-0-33,cried
doyle-0-33,kept looking watchfully
doyle-0-33,'who knows
doyle-0-33,sun much country perhaps
doyle-0-34,last opened reach
doyle-0-34,rocky cliff appeared mounds turned earth shore houses hill others iron roofs amongst waste excavations hanging declivity
doyle-0-34,continuous noise rapids hovered scene inhabited devastation
doyle-0-34,lot people mostly black naked moved like ants
doyle-0-34,jetty projected river
doyle-0-34,blinding sunlight drowned times sudden recrudescence glare
doyle-0-34,'there 's company 's station swede pointing three wooden barrack like structures rocky slope
doyle-0-34,send things
doyle-0-34,four boxes say
doyle-0-34,farewell
doyle-0-35,came upon boiler wallowing grass found path leading hill
doyle-0-35,turned aside boulders also undersized railway truck lying back wheels air
doyle-0-35,one
doyle-0-35,thing looked dead carcass animal
doyle-0-35,came upon pieces decaying machinery stack rusty rails
doyle-0-35,left clump trees made shady spot dark things seemed stir feebly
doyle-0-35,blinked path steep
doyle-0-35,horn tooted right saw black people run
doyle-0-35,heavy dull detonation shook ground puff smoke came cliff
doyle-0-35,change appeared face rock
doyle-0-35,building railway
doyle-0-35,cliff way anything objectless blasting work going
doyle-0-36,slight clinking behind made turn head
doyle-0-36,six black men advanced file toiling path
doyle-0-36,walked erect slow balancing small baskets full earth heads clink kept time footsteps
doyle-0-36,black rags wound round loins short ends behind waggled fro like tails
doyle-0-36,could see every rib joints limbs like knots rope iron collar neck connected together chain whose bights swung rhythmically clinking
doyle-0-36,another report cliff made think suddenly ship war seen firing continent
doyle-0-36,kind ominous voice men could stretch imagination called enemies
doyle-0-36,called criminals outraged law like bursting shells come insoluble mystery sea
doyle-0-36,meagre breasts panted together violently dilated nostrils quivered eyes stared stonily uphill
doyle-0-36,passed within six inches without glance complete deathlike indifference unhappy savages
doyle-0-36,behind raw matter one reclaimed product new forces work strolled despondently carrying rifle middle
doyle-0-36,uniform jacket one button seeing white man path hoisted weapon shoulder alacrity
doyle-0-36,simple prudence white men much alike distance could tell might
doyle-0-36,speedily reassured large white rascally grin glance charge seemed take partnership exalted trust
doyle-0-36,also part great cause high proceedings
doyle-0-37,instead going turned descended left
doyle-0-37,idea let chain gang get sight climbed hill
doyle-0-37,know particularly tender 've strike fend
doyle-0-37,'ve resist attack sometimes 's one way resisting without counting exact cost according demands sort life blundered
doyle-0-37,'ve seen devil violence devil greed devil hot desire stars
doyle-0-37,strong lusty red eyed devils swayed drove men men tell
doyle-0-37,stood hillside foresaw blinding sunshine land would become acquainted flabby pretending weak eyed devil rapacious pitiless folly
doyle-0-37,insidious could find several months later thousand miles farther
doyle-0-37,moment stood appalled though warning
doyle-0-37,finally descended hill obliquely towards trees seen
doyle-0-38,avoided vast artificial hole somebody digging slope purpose found impossible divine
doyle-0-38,n't quarry sandpit anyhow
doyle-0-38,hole
doyle-0-38,might connected philanthropic desire giving criminals something
doyle-0-38,n't know
doyle-0-38,nearly fell narrow ravine almost scar hillside
doyle-0-38,discovered lot imported drainage pipes settlement tumbled
doyle-0-38,n't one broken
doyle-0-38,wanton smash
doyle-0-38,last got trees
doyle-0-38,purpose stroll shade moment sooner within seemed stepped gloomy circle inferno
doyle-0-38,rapids near uninterrupted uniform headlong rushing noise filled mournful stillness grove breath stirred leaf moved mysterious sound though tearing pace launched earth suddenly become audible
doyle-0-39,black shapes crouched lay sat trees leaning trunks clinging earth half coming half effaced within dim light attitudes pain abandonment despair
doyle-0-39,another mine cliff went followed slight shudder soil feet
doyle-0-39,work going
doyle-0-39,work
doyle-0-39,place helpers withdrawn die
doyle-0-40,dying slowly clear
doyle-0-40,enemies criminals nothing earthly nothing black shadows disease starvation lying confusedly greenish gloom
doyle-0-40,brought recesses coast legality time contracts lost uncongenial surroundings fed unfamiliar food sickened became inefficient allowed crawl away rest
doyle-0-40,moribund shapes free air nearly thin
doyle-0-40,began distinguish gleam eyes trees
doyle-0-40,glancing saw face near hand
doyle-0-40,black bones reclined full length one shoulder tree slowly eyelids rose sunken eyes looked enormous vacant kind blind white flicker depths orbs died slowly
doyle-0-40,man seemed young almost boy know 's hard tell
doyle-0-40,found nothing else offer one good swede 's ship 's biscuits pocket
doyle-0-40,fingers closed slowly held movement glance
doyle-0-40,tied bit white worsted round neck
doyle-0-40,get
doyle-0-40,badge ornament charm propitiatory act
doyle-0-40,idea connected
doyle-0-40,looked startling round black neck bit white thread beyond seas
doyle-0-41,near tree two bundles acute angles sat legs drawn
doyle-0-41,one chin propped knees stared nothing intolerable appalling manner brother phantom rested forehead overcome great weariness others scattered every pose contorted collapse picture massacre pestilence
doyle-0-41,stood horror struck one creatures rose hands knees went fours towards river drink
