doc_label,doc_content
doyle-3-22,minutes however shipmates seems reason huge favourite raised cry bulkington
doyle-3-22,bulkington
doyle-3-22,bulkington darted house pursuit
doyle-3-23,nine clock room seeming almost quiet orgies began upon little plan occurred previous entrance seamen
doyle-3-24,man sleep two bed
doyle-3-24,fact would good deal rather sleep brother
doyle-3-24,know people like private sleeping
doyle-3-24,comes sleeping unknown stranger strange inn strange town stranger harpooneer indefinitely
doyle-3-24,earthly reason sailor sleep two bed anybody else sailors sleep two bed sea bachelor kings ashore
doyle-3-24,sure sleep together one apartment hammock cover blanket sleep skin
doyle-3-25,pondered harpooneer thought sleeping
doyle-3-25,fair presume harpooneer linen woollen case might would certainly none finest
doyle-3-25,began twitch
doyle-3-25,besides getting late decent harpooneer ought home going
doyle-3-25,suppose tumble upon midnight could tell vile hole coming
doyle-3-26,landlord
doyle-3-26,changed mind harpooneer
doyle-3-26,sleep
doyle-3-26,try bench
doyle-3-27,please sorry spare ye rough board feeling knots
doyle-3-27,wait bit skrimshander got carpenter plane bar wait say make ye snug enough saying plane old silk handkerchief first bench vigorously set away bed grinning like
doyle-3-27,shavings flew right left till last plane iron came knot
doyle-3-27,landlord near wrist told heaven sake quit bed soft enough suit know world could make pine plank
doyle-3-27,gathering shavings another grin throwing great stove middle room went business left brown study
doyle-3-28,took measure bench found foot short could mended chair
doyle-3-28,foot narrow bench room four inches higher one
doyle-3-28,placed first bench lengthwise along clear space wall leaving little interval back settle
doyle-3-28,soon found came cold air window plan would never especially another door met one window together formed series small immediate vicinity spot thought spend night
doyle-3-29,devil fetch harpooneer thought stop march bolt door inside jump bed violent
doyle-3-29,seemed bad idea upon second thoughts
doyle-3-29,could tell next morning soon room harpooneer might standing entry ready knock
doyle-3-30,still looking round seeing possible chance spending sufferable night unless person bed began think might prejudices unknown harpooneer
doyle-3-30,thinks wait awhile must dropping long
doyle-3-30,good look perhaps may become jolly good telling
doyle-3-31,though boarders kept coming ones twos threes going bed yet sign harpooneer
doyle-3-32,landlord sort chap always keep late hours hard upon twelve clock
doyle-3-33,landlord lean seemed tickled something beyond comprehension
doyle-3-33,answered generally early bird bed rise yes bird catches worm
doyle-3-33,night went see see keeps late unless may sell head
doyle-3-34,sell head
doyle-3-34,sort story telling getting rage
doyle-3-34,pretend say landlord harpooneer actually engaged blessed saturday night rather sunday morning head around town
doyle-3-35,precisely landlord told sell market
doyle-3-36,shouted
doyle-3-37,heads sure many heads world
doyle-3-38,tell landlord quite calmly better stop spinning yarn green
doyle-3-39,may taking stick whittling guess done brown ere harpooneer hears head
doyle-3-40,break flying passion unaccountable landlord
doyle-3-41,broke ready
doyle-3-42,broke broke mean
doyle-3-43,reason sell guess
doyle-3-44,landlord going cool
doyle-3-44,snow storm landlord stop whittling
doyle-3-44,must understand one another without delay
doyle-3-44,come house want bed tell give half one half belongs certain harpooneer
doyle-3-44,harpooneer yet seen telling stories tending beget uncomfortable feeling towards man design bedfellow sort connexion landlord intimate confidential one highest degree
doyle-3-44,demand speak tell harpooneer whether shall respects safe spend night
doyle-3-44,first place good story head true take good harpooneer stark mad idea sleeping madman sir mean landlord sir trying induce would thereby render prosecution
doyle-3-45,wall landlord fetching long breath long chap little
doyle-3-45,easy easy harpooneer arrived south seas lot new zealand heads great know sold em one one trying sell night cause morrow sunday would human heads streets folks goin churches
doyle-3-45,wanted last sunday stopped goin door four heads strung string like string
doyle-3-46,account cleared otherwise unaccountable mystery showed landlord idea time could think harpooneer stayed saturday night clean holy sabbath engaged cannibal business heads dead
